split,ablation,goal_success,ci95_success,recovery_success,irreversible_failure,damage,total_cost,calibration_error,safety_utility,rows
combined_hard_shift,full_recoverability_score_v5,0.83625,0.01948,0.90368,0.00125,0.01000,1.91083,0.20182,0.61276,800
combined_hard_shift,minus_recovery_success,0.82375,0.02670,0.86106,0.00125,0.02000,1.92079,0.21453,0.58396,800
combined_hard_shift,minus_recovery_cost,0.84750,0.01926,0.78900,0.00000,0.02500,1.91012,0.19178,0.61175,800
combined_hard_shift,minus_irreversible_trap_penalty,0.83125,0.02457,0.88110,0.00000,0.00875,1.90568,0.21756,0.61011,800
combined_hard_shift,minus_damage_penalty,0.84375,0.02429,0.85474,0.00000,0.01750,1.90041,0.20844,0.61647,800
combined_hard_shift,minus_budget_slack,0.85500,0.01833,0.91527,0.00000,0.00875,1.90778,0.18434,0.64157,800
combined_hard_shift,minus_branch_entropy,0.82750,0.02445,0.84062,0.00000,0.01125,1.90332,0.21195,0.60136,800
combined_hard_shift,minus_calibration_penalty,0.83375,0.04133,0.84041,0.00000,0.01500,1.91152,0.20458,0.60508,800
combined_hard_shift,risk_only_score,0.69375,0.03332,0.80192,0.00250,0.02125,2.04660,0.32844,0.39384,800
combined_hard_shift,expected_utility_only,0.84500,0.02287,0.86056,0.00125,0.01125,1.89420,0.19374,0.62484,800
adversarial_compound_shift,full_recoverability_score_v5,0.72750,0.02499,0.82367,0.00000,0.02125,1.95637,0.30319,0.45055,800
adversarial_compound_shift,minus_recovery_success,0.71500,0.03403,0.80375,0.00500,0.01500,1.95704,0.32054,0.43325,800
adversarial_compound_shift,minus_recovery_cost,0.71750,0.03371,0.83558,0.00125,0.03000,1.95859,0.31510,0.42419,800
adversarial_compound_shift,minus_irreversible_trap_penalty,0.73375,0.03408,0.86060,0.00000,0.01625,1.94999,0.30937,0.46507,800
adversarial_compound_shift,minus_damage_penalty,0.75875,0.02759,0.84029,0.00125,0.01500,1.92613,0.29558,0.50048,800
adversarial_compound_shift,minus_budget_slack,0.68500,0.03221,0.83949,0.00125,0.02000,1.96908,0.34013,0.39147,800
adversarial_compound_shift,minus_branch_entropy,0.73625,0.03172,0.85876,0.00000,0.01000,1.94636,0.30255,0.47623,800
adversarial_compound_shift,minus_calibration_penalty,0.73125,0.02259,0.87306,0.00000,0.01875,1.94239,0.30773,0.45930,800
adversarial_compound_shift,risk_only_score,0.55000,0.02608,0.84525,0.00375,0.02625,2.07790,0.45924,0.18952,800
adversarial_compound_shift,expected_utility_only,0.76375,0.01982,0.82787,0.00250,0.01750,1.92463,0.27678,0.50259,800
